S.No,Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death
612,05-08-2021,India,34606541,99763,34037054,469724
613,06-08-2021,India,34633255,99155,34060774,473326
614,07-08-2021,India,34641561,98416,34069608,473537
615,08-08-2021,India,34648383,95014,34079612,473757
616,09-08-2021,India,34656822,93733,34089137,473952
617,10-08-2021,India,34666241,94742,34097388,474111
618,11-08-2021,India,34690510,92281,34122795,475434
619,12-08-2021,India,34697860,91456,34130768,475636
620,13-08-2021,India,34703644,88993,34138763,475888
621,14-08-2021,India,34710628,87562,34146931,476135
622,15-08-2021,India,34718602,87245,34154879,476478
623,16-08-2021,India,34726049,86415,34162765,476869
624,17-08-2021,India,34733194,84565,34171471,477158
625,18-08-2021,India,34540275,83913,34178940,477422
626,19-08-2021,India,34546838,82267,34187017,477554
627,20-08-2021,India,34697860,91456,34130768,475636
628,21-08-2021,India,34703644,88993,34138763,475888
629,22-08-2021,India,34710628,87562,34146931,476135
